,Skills Required,count,Scrape Date,Job Title,Company,Location,Date Posted,Experience Level,Job Type,Work Type,Job Link,City,State,Job Category,Day Posted,Salary_Definite
2729,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=24&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=AUntFyXIYEmIZNoNf3kq8w%3D%3D,San Francisco,CA,AI/ML,Tuesday,142000.0
2730,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=39&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=kTiVdz8A5y5b%2Bt%2FWrN5BqA%3D%3D,San Francisco,CA,AI/ML,Friday,186000.0
2731,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=41&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=xGCCwRECbt7D4rw1EBMaww%3D%3D,San Francisco,CA,AI/ML,Saturday,149000.0
2732,"R, Machine Learning",297,2025-02-17,AI Strategist,KUNGFU.AI,"Austin, TX",2025-02-13,Senior Level,Full-time,Remote,https://www.linkedin.com/jobs/view/ai-strategist-at-kungfu-ai-4151639892?position=45&pageNum=0&refId=h%2B%2FXezNyMVf%2Fn0Qw2miGSw%3D%3D&trackingId=XJsHelG%2FsjsRdqzODlPP7Q%3D%3D,Austin,TX,AI/ML,Thursday,155000.0
2733,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=31&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=ZVvdC93CbU%2Brgwv3gO9xTQ%3D%3D,San Francisco,CA,AI/ML,Tuesday,151000.0
2734,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=32&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=SfnkwahWVFatMBWZ0fkIEQ%3D%3D,San Francisco,CA,AI/ML,Friday,179000.0
2735,"R, Machine Learning",297,2025-02-17,"AI Trainer for Medicine (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-15,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-trainer-for-medicine-freelance-remote-at-alignerr-4153483896?position=40&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=EIVr%2B%2BedGsrgg3UOTNr0%2Fg%3D%3D,San Francisco,CA,AI/ML,Saturday,200000.0
2736,"R, Machine Learning",297,2025-02-17,AI Strategist,KUNGFU.AI,"Austin, TX",2025-02-13,Senior Level,Full-time,Remote,https://www.linkedin.com/jobs/view/ai-strategist-at-kungfu-ai-4151639892?position=45&pageNum=0&refId=WEe0Q2i%2FUHNl8X7CwVExYg%3D%3D&trackingId=AgVRxvv6Agy2Jg77%2FcGSDg%3D%3D,Austin,TX,AI/ML,Thursday,185000.0
2737,"R, Machine Learning",297,2025-02-17,AI Transformation Lead,Fieldguide,"San Francisco, CA",2025-02-11,Senior Level,Not Specified,Remote,https://www.linkedin.com/jobs/view/ai-transformation-lead-at-fieldguide-4147153952?position=6&pageNum=2&refId=ul4GTnD0WeDVjJHxmtX%2B8A%3D%3D&trackingId=aOhhbmo7r3IxjYZ9jv42TA%3D%3D,San Francisco,CA,AI/ML,Tuesday,201000.0
2738,"R, Machine Learning",297,2025-02-17,"AI Training for K-12 Education Expert (Freelance, Remote)",Alignerr,"San Francisco, CA",2025-02-14,Senior Level,Contract,On-site,https://www.linkedin.com/jobs/view/ai-training-for-k-12-education-expert-freelance-remote-at-alignerr-4153418114?position=7&pageNum=2&refId=ul4GTnD0WeDVjJHxmtX%2B8A%3D%3D&trackingId=JDhtNC3Cmajx0NFD5d8Ebw%3D%3D,San Francisco,CA,AI/ML,Friday,153000.0
