,,0
2729,0,R
2729,1, Machine Learning
2730,0,R
2730,1, Machine Learning
2731,0,R
2731,1, Machine Learning
2732,0,R
2732,1, Machine Learning
2733,0,R
2733,1, Machine Learning
2734,0,R
2734,1, Machine Learning
2735,0,R
2735,1, Machine Learning
2736,0,R
2736,1, Machine Learning
2737,0,R
2737,1, Machine Learning
2738,0,R
2738,1, Machine Learning
2739,0,R
2739,1, Machine Learning
2740,0,R
2740,1, Machine Learning
2741,0,R
2741,1, Machine Learning
2742,0,R
2742,1, Machine Learning
2743,0,R
2743,1, Machine Learning
2744,0,R
2744,1, Machine Learning
2745,0,R
2745,1, Machine Learning
2746,0,R
2746,1, Machine Learning
2747,0,R
2747,1, Machine Learning
2748,0,R
2748,1, Machine Learning
2749,0,R
2749,1, Machine Learning
2752,0,R
2752,1, Machine Learning
2754,0,R
2754,1, Machine Learning
2755,0,R
2755,1, Machine Learning
2756,0,R
2756,1, Machine Learning
2758,0,R
2758,1, Machine Learning
2759,0,R
2759,1, Machine Learning
2760,0,R
2760,1, Machine Learning
2762,0,R
2762,1, Machine Learning
2763,0,R
2763,1, Machine Learning
2764,0,R
2764,1, Machine Learning
2765,0,R
2765,1, Machine Learning
2767,0,R
2767,1, Machine Learning
2768,0,R
2768,1, Machine Learning
2770,0,R
2770,1, Machine Learning
2771,0,R
2771,1, Machine Learning
2772,0,R
2772,1, Machine Learning
2773,0,R
2773,1, Machine Learning
2774,0,R
2774,1, Machine Learning
2775,0,R
2775,1, Machine Learning
2776,0,R
2776,1, Machine Learning
2777,0,R
2777,1, Machine Learning
2778,0,R
2778,1, Machine Learning
2779,0,R
2779,1, Machine Learning
2780,0,R
2780,1, Machine Learning
2781,0,R
2781,1, Machine Learning
2782,0,R
2782,1, Machine Learning
2783,0,R
2783,1, Machine Learning
2784,0,R
2784,1, Machine Learning
2785,0,R
2785,1, Machine Learning
2786,0,R
2786,1, Machine Learning
2787,0,R
2787,1, Machine Learning
2788,0,R
2788,1, Machine Learning
2789,0,R
2789,1, Machine Learning
2790,0,R
2790,1, Machine Learning
2791,0,R
2791,1, Machine Learning
2792,0,R
2792,1, Machine Learning
2793,0,R
2793,1, Machine Learning
2794,0,R
2794,1, Machine Learning
2795,0,R
2795,1, Machine Learning
2796,0,R
2796,1, Machine Learning
2797,0,R
2797,1, Machine Learning
2798,0,R
2798,1, Machine Learning
2799,0,R
2799,1, Machine Learning
2800,0,R
2800,1, Machine Learning
2801,0,R
2801,1, Machine Learning
2802,0,R
2802,1, Machine Learning
2803,0,R
2803,1, Machine Learning
2804,0,R
2804,1, Machine Learning
2805,0,R
2805,1, Machine Learning
2806,0,R
2806,1, Machine Learning
2808,0,R
2808,1, Machine Learning
2809,0,R
2809,1, Machine Learning
2810,0,R
2810,1, Machine Learning
2811,0,R
2811,1, Machine Learning
2812,0,R
2812,1, Machine Learning
2814,0,R
2814,1, Machine Learning
2815,0,R
2815,1, Machine Learning
2816,0,R
2816,1, Machine Learning
2817,0,R
2817,1, Machine Learning
2818,0,R
2818,1, Machine Learning
2819,0,R
2819,1, Machine Learning
2822,0,R
2822,1, Machine Learning
2823,0,R
2823,1, Machine Learning
2825,0,R
2825,1, Machine Learning
2826,0,R
2826,1, Machine Learning
2829,0,R
2829,1, Machine Learning
2830,0,R
2830,1, Machine Learning
2831,0,R
2831,1, Machine Learning
2832,0,R
2832,1, Machine Learning
2833,0,R
2833,1, Machine Learning
2834,0,R
2834,1, Machine Learning
2835,0,R
2835,1, Machine Learning
2836,0,R
2836,1, Machine Learning
2838,0,R
2838,1, Machine Learning
2839,0,R
2839,1, Machine Learning
2840,0,R
2840,1, Machine Learning
2841,0,R
2841,1, Machine Learning
2842,0,R
2842,1, Machine Learning
2843,0,R
2843,1, Machine Learning
2844,0,R
2844,1, Machine Learning
2845,0,R
2845,1, Machine Learning
2846,0,R
2846,1, Machine Learning
2847,0,R
2847,1, Machine Learning
2848,0,R
2848,1, Machine Learning
2849,0,R
2849,1, Machine Learning
2850,0,R
2850,1, Machine Learning
2851,0,R
2851,1, Machine Learning
2852,0,R
2852,1, Machine Learning
2853,0,R
2853,1, Machine Learning
2854,0,R
2854,1, Machine Learning
2855,0,R
2855,1, Machine Learning
2856,0,R
2856,1, Machine Learning
2857,0,R
2857,1, Machine Learning
2858,0,R
2858,1, Machine Learning
2859,0,R
2859,1, Machine Learning
2860,0,R
2860,1, Machine Learning
2861,0,R
2861,1, Machine Learning
2862,0,R
2862,1, Machine Learning
2863,0,R
2863,1, Machine Learning
2864,0,R
2864,1, Machine Learning
2865,0,R
2865,1, Machine Learning
2866,0,R
2866,1, Machine Learning
2867,0,R
2867,1, Machine Learning
2868,0,R
2868,1, Machine Learning
2869,0,R
2869,1, Machine Learning
2870,0,R
2870,1, Machine Learning
2871,0,R
2871,1, Machine Learning
2872,0,R
2872,1, Machine Learning
2873,0,R
2873,1, Machine Learning
2874,0,R
2874,1, Machine Learning
2875,0,R
2875,1, Machine Learning
2876,0,R
2876,1, Machine Learning
2877,0,R
2877,1, Machine Learning
2878,0,R
2878,1, Machine Learning
2879,0,R
2879,1, Machine Learning
2880,0,R
2880,1, Machine Learning
2881,0,R
2881,1, Machine Learning
2882,0,R
2882,1, Machine Learning
2883,0,R
2883,1, Machine Learning
2884,0,R
2884,1, Machine Learning
2885,0,R
2885,1, Machine Learning
2886,0,R
2886,1, Machine Learning
2887,0,R
2887,1, Machine Learning
2888,0,R
2888,1, Machine Learning
2889,0,R
2889,1, Machine Learning
2890,0,R
2890,1, Machine Learning
2892,0,R
2892,1, Machine Learning
2893,0,R
2893,1, Machine Learning
2894,0,R
2894,1, Machine Learning
2895,0,R
2895,1, Machine Learning
2897,0,R
2897,1, Machine Learning
2898,0,R
2898,1, Machine Learning
2899,0,R
2899,1, Machine Learning
2900,0,R
2900,1, Machine Learning
2901,0,R
2901,1, Machine Learning
2902,0,R
2902,1, Machine Learning
2903,0,R
2903,1, Machine Learning
2904,0,R
2904,1, Machine Learning
2905,0,R
2905,1, Machine Learning
2906,0,R
2906,1, Machine Learning
2907,0,R
2907,1, Machine Learning
2908,0,R
2908,1, Machine Learning
2909,0,R
2909,1, Machine Learning
2910,0,R
2910,1, Machine Learning
2911,0,R
2911,1, Machine Learning
2912,0,R
2912,1, Machine Learning
2913,0,R
2913,1, Machine Learning
2914,0,R
2914,1, Machine Learning
2915,0,R
2915,1, Machine Learning
2916,0,R
2916,1, Machine Learning
2917,0,R
2917,1, Machine Learning
2918,0,R
2918,1, Machine Learning
2919,0,R
2919,1, Machine Learning
2920,0,R
2920,1, Machine Learning
2921,0,R
2921,1, Machine Learning
2922,0,R
2922,1, Machine Learning
2923,0,R
2923,1, Machine Learning
2924,0,R
2924,1, Machine Learning
2925,0,R
2925,1, Machine Learning
2926,0,R
2926,1, Machine Learning
2927,0,R
2927,1, Machine Learning
2928,0,R
2928,1, Machine Learning
2929,0,R
2929,1, Machine Learning
2930,0,R
2930,1, Machine Learning
2931,0,R
2931,1, Machine Learning
2932,0,R
2932,1, Machine Learning
2933,0,R
2933,1, Machine Learning
2934,0,R
2934,1, Machine Learning
2935,0,R
2935,1, Machine Learning
2936,0,R
2936,1, Machine Learning
2937,0,R
2937,1, Machine Learning
2938,0,R
2938,1, Machine Learning
2939,0,R
2939,1, Machine Learning
2940,0,R
2940,1, Machine Learning
2941,0,R
2941,1, Machine Learning
2942,0,R
2942,1, Machine Learning
2943,0,R
2943,1, Machine Learning
2944,0,R
